"pop_size","pop_density","pop_ID","area","type","long","lat","county"
4770.86688232422,1356.52639935831,1,3.51697311941811,"U",-111.91874602,33.49236191,"high"
447.089797973633,826.098194566655,2,0.541206603420992,"U",-111.5,33.21666667,"high"
3252452.19918823,4565.76350669479,3,712.356694432191,"U",-112.83333333,33.88333333,"high"
1281499.44242859,4485.34542633871,4,285.708082794116,"U",-112.29868775,33.5417182,"high"
36197.236618042,2713.1520717403,5,13.3413961550721,"U",-113.16666666,33.55,"high"
2105.16363525391,1538.55994145398,6,1.36826884577826,"U",-112.5,33.21666667,"high"
1206.04084935602,2.78366917441951,7,433.25581230662,"R",-112.5,33.55,"high"
5377.20188027014,12.4111477042682,8,433.25581230662,"R",-112.72083333,32.95083334,"high"
10651.8698060366,24.5856362533877,9,433.25581230662,"R",-111.83333333,33.21666667,"high"
20430.2616642252,47.1551934997851,10,433.25581230662,"R",-112.16666667,33.88333333,"high"
22376.5553005343,51.647443992507,11,433.25581230662,"R",-112.60076532,33.402466,"high"
502.87895684324,1.15628323984999,12,434.90983827499,"R",-113.16666667,33.88333333,"high"
10372.3573088803,23.8494427949039,13,434.90983827499,"R",-112.83333333,32.88333334,"high"
20249.784843265,46.5608801207694,14,434.90983827499,"R",-111.5,33.55,"high"
12156.1813915452,27.951037943315,15,434.90983827499,"R",-112.83333333,33.21666667,"high"
21945.043071502,50.4588333953171,16,434.90983827499,"R",-112.5,33.88333334,"high"
1844.94740097564,4.24213765384894,17,434.909838274978,"R",-113.175,33.94166667,"high"
1965.39954384388,4.50212753600158,18,436.549060000505,"R",-111.83333333,33.55,"high"
6310.52361761163,14.4554740711258,19,436.549060000505,"R",-112.83333333,33.55,"high"
8529.32915164955,19.5380770070601,20,436.549060000505,"R",-112.16666667,33.21666667,"high"
6773.25614743819,15.5154523696154,21,436.549060000505,"R",-112.16666666,33.55,"high"
2794.62323198933,6.40162466959882,22,436.549060000493,"R",-111.83333333,33.88333333,"high"
1189.74866064012,2.71524601637377,23,438.173430129561,"R",-112.74711539,33.96314103,"high"
