"day","daily_beta"
1,0.413979
2,0.413979
3,0.413979
4,0.413979
5,0.413979
6,0.413979
7,0.413979
8,0.413979
9,0.413979
10,0.413979
11,0.413979
12,0.413979
13,0.413979
14,0.413979
15,0.360108
16,0.360108
17,0.360108
18,0.360108
19,0.360108
20,0.360108
21,0.360108
22,0.302309
23,0.302309
24,0.302309
25,0.302309
26,0.302309
27,0.302309
28,0.302309
29,0.205435
30,0.205435
31,0.205435
32,0.205435
33,0.205435
34,0.205435
35,0.205435
36,0.139219
37,0.139219
38,0.139219
39,0.139219
40,0.139219
41,0.139219
42,0.139219
43,0.123401
44,0.123401
45,0.123401
46,0.123401
47,0.123401
48,0.123401
49,0.123401
50,0.117715
51,0.117715
52,0.117715
53,0.117715
54,0.117715
55,0.117715
56,0.117715
57,0.131618
58,0.131618
59,0.131618
60,0.131618
61,0.131618
62,0.131618
63,0.131618
64,0.136576
65,0.136576
66,0.136576
67,0.136576
68,0.136576
69,0.136576
70,0.136576
71,0.146336
72,0.146336
73,0.146336
74,0.146336
75,0.146336
76,0.146336
77,0.146336
78,0.126863
79,0.126863
80,0.126863
81,0.126863
82,0.126863
83,0.126863
84,0.126863
85,0.120775
86,0.120775
87,0.120775
88,0.120775
89,0.120775
90,0.120775
91,0.120775
92,0.111577
93,0.111577
94,0.111577
95,0.111577
96,0.111577
97,0.111577
98,0.111577
99,0.154513
100,0.154513
101,0.154513
102,0.154513
103,0.154513
104,0.154513
105,0.154513
106,0.1564
107,0.1564
108,0.1564
109,0.1564
110,0.1564
111,0.1564
112,0.1564
113,0.150535
114,0.150535
115,0.150535
116,0.150535
117,0.150535
118,0.150535
119,0.150535
120,0.150746
121,0.150746
122,0.150746
123,0.150746
124,0.150746
125,0.150746
126,0.150746
127,0.137641
128,0.137641
129,0.137641
130,0.137641
131,0.137641
132,0.137641
133,0.137641
134,0.115293
135,0.115293
136,0.115293
137,0.115293
138,0.115293
139,0.115293
140,0.115293
141,0.110936
142,0.110936
143,0.110936
144,0.110936
145,0.110936
146,0.110936
147,0.110936
148,0.0959919
149,0.0959919
150,0.0959919
151,0.0959919
152,0.0959919
153,0.0959919
154,0.0959919
155,0.095086
156,0.095086
157,0.095086
158,0.095086
159,0.095086
160,0.095086
161,0.095086
162,0.0963099
163,0.0963099
164,0.0963099
165,0.0963099
166,0.0963099
167,0.0963099
168,0.0963099
169,0.0989414
170,0.0989414
171,0.0989414
172,0.0989414
173,0.0989414
174,0.0989414
175,0.0989414
176,0.101854
177,0.101854
178,0.101854
179,0.101854
180,0.101854
181,0.101854
182,0.101854
183,0.105835
184,0.105835
185,0.105835
186,0.105835
187,0.105835
188,0.105835
189,0.105835
190,0.11564
191,0.11564
192,0.11564
193,0.11564
194,0.11564
195,0.11564
196,0.11564
197,0.0991485
198,0.0991485
199,0.0991485
200,0.0991485
201,0.0991485
202,0.0991485
203,0.0991485
204,0.123046
205,0.123046
206,0.123046
207,0.123046
208,0.123046
209,0.123046
210,0.123046
211,0.133861
212,0.133861
213,0.133861
214,0.133861
215,0.133861
216,0.133861
217,0.133861
218,0.124032
219,0.124032
220,0.124032
221,0.124032
222,0.124032
223,0.124032
224,0.124032
225,0.130987
226,0.130987
227,0.130987
228,0.130987
229,0.130987
230,0.130987
231,0.130987
232,0.130657
233,0.130657
234,0.130657
235,0.130657
236,0.130657
237,0.130657
238,0.130657
239,0.131186
240,0.131186
241,0.131186
242,0.131186
243,0.131186
244,0.131186
245,0.131186
246,0.129486
247,0.129486
248,0.129486
249,0.129486
250,0.129486
251,0.129486
252,0.129486
253,0.133222
254,0.133222
255,0.133222
256,0.133222
257,0.133222
258,0.133222
259,0.133222
260,0.139918
261,0.139918
262,0.139918
263,0.139918
264,0.139918
265,0.139918
266,0.139918
267,0.134135
268,0.134135
269,0.134135
270,0.134135
271,0.134135
272,0.134135
273,0.134135
274,0.137645
275,0.137645
276,0.137645
277,0.137645
278,0.137645
279,0.137645
280,0.137645
281,0.124209
282,0.124209
283,0.124209
284,0.124209
285,0.124209
286,0.124209
287,0.124209
288,0.132659
289,0.132659
290,0.132659
291,0.132659
292,0.132659
293,0.132659
294,0.132659
295,0.125236
296,0.125236
